Region,Cut Off P01,Cut Off P02,Cut Off P03,Cut Off P06,Cut Off P07
England,53.10849054,73.90695372,78.9260158,94.51646418,100
North East,47.3408019,77.20239505,83.14014938,99.77932536,100
North West,32.67541703,76.86414849,83.50455987,87.82206412,100
Yorkshire & the Humber,53.33946793,79.51687762,82.1129528,97.99215084,100
East Midlands,58.1267083,71.69934216,75.30081406,96.35620747,100
West Midlands,51.77228711,70.68532886,78.52037724,91.64156359,100
East of England,59.94272,78.56537996,81.8246654,96.75924735,100
South East,52.43619375,69.6943398,76.51226083,93.98078692,100
South West,40.7108499,67.44225225,75.77279584,86.41171617,100
