BBS Counties,GovRegion
Bedfordshire,East of England
Berkshire,South East
Birmingham & West Midlands,West Midlands
Buckinghamshire,South East
Cambridgeshire,East of England
Cleveland,Yorkshire & the Humber
Derbyshire (North),East Midlands
Derbyshire (South),East Midlands
Durham,North East
Essex (Northeast),East of England
Essex (Northwest),East of England
Essex (South),East of England
Hertfordshire,East of England
Huntingdon & Peterborough,East of England
Lancashire (East),North West
Lancashire (Northwest),North West
Leicestershire & Rutland,East Midlands
Lincolnshire (East),East Midlands
Lincolnshire (North),East Midlands
Lincolnshire (South),East Midlands
Lincolnshire (West),East Midlands
London (North),South East
London (South),South East
Norfolk (Northeast),East of England
Norfolk (Northwest),East of England
Norfolk (Southeast),East of England
Norfolk (Southwest),East of England
Northamptonshire,East Midlands
Nottinghamshire,East Midlands
Oxfordshire (North),South East
Oxfordshire (South),South East
Staffordshire (South),West Midlands
Suffolk,East of England
Surrey,South East
Warwickshire,West Midlands
Yorkshire (Bradford),Yorkshire & the Humber
Yorkshire (Central),Yorkshire & the Humber
Yorkshire (East),Yorkshire & the Humber
Yorkshire (Hull),Yorkshire & the Humber
Yorkshire (Leeds & Wakefield),Yorkshire & the Humber
Yorkshire (Northeast),Yorkshire & the Humber
Yorkshire (Northwest),Yorkshire & the Humber
Yorkshire (Richmond),Yorkshire & the Humber
Yorkshire (Southeast),Yorkshire & the Humber
Yorkshire (Southwest),Yorkshire & the Humber
Yorkshire (York),Yorkshire & the Humber
